,subjectID,videoID,root_mean_squared_error
0,1,1,0.09541738891226419
1,1,10,0.007864991204704762
2,1,13,0.05281377589840203
3,1,18,0.5432367325913394
4,9,1,0.1598567254748051
5,9,10,0.01492970394068426
6,9,13,0.05988446074520219
7,9,18,2.059422580378787
8,17,1,0.26978245970870235
9,17,10,9.346008322808076e-08
10,17,13,0.25276416519163347
11,17,18,0.7680388698469687
12,26,1,0.023417878614193453
13,26,10,0.0
14,26,13,0.3153131925605705
15,26,18,1.5986346941684215
16,32,1,0.6755115384402749
17,32,10,0.19804329776443547
18,32,13,0.8461865952416137
19,32,18,0.518300421856116
20,37,1,6.452330353811461e-05
21,37,10,0.09885862958525297
22,37,13,0.08738102807701803
23,37,18,2.144067994158314
