,subjectID,videoID,arousal_rmse,valence_rmse
0,1,1,0.09556738382839565,0.10434763780894651
1,1,10,0.007791062651507217,1.258850099716824e-07
2,1,13,0.04115630440010487,0.0004559767877645307
3,1,18,0.553101682965089,0.28370773646614195
4,9,1,0.16249111263759955,0.12513602212076244
5,9,10,0.014937969077637153,0.0021130048034222206
6,9,13,0.059570312719060284,0.12124516081811708
7,9,18,2.0500178042617683,0.4081437153082763
8,17,1,0.26905429509107776,0.15327335716077292
9,17,10,4.099493988492435e-05,0.001761204486870149
10,17,13,0.2528414433768021,0.24503211073783346
11,17,18,0.7711562592620091,0.22753997330188053
12,26,1,0.025988974787325623,0.04977553646135817
13,26,10,0.0,0.0
14,26,13,0.3153131925605705,0.26311643656366873
15,26,18,1.5468561588560532,0.3764171537419906
16,32,1,0.6755115384402749,0.5292697158162482
17,32,10,0.19804329776443547,0.040346874031752626
18,32,13,0.8461854211509551,0.823652085316196
19,32,18,0.514852690386779,0.8112916562909208
20,37,1,0.0,6.206641939587865e-05
21,37,10,0.09885862958525297,0.002756835165514191
22,37,13,0.08738102807701803,0.01872006084301278
23,37,18,2.1040401758112988,1.2731583458990605
