,subjectID,videoID,arousal_rmse,valence_rmse
0,1,1,0.09561734070088805,0.10440649351197896
1,1,10,0.007791062651507217,1.258850099716824e-07
2,1,13,0.04115630440010487,4.959106458812811e-08
3,1,18,0.53072462317532,0.28080102981514876
4,9,1,0.16249111263759955,0.12560344717692346
5,9,10,0.014942531352740682,0.002050836010054972
6,9,13,0.05959778575842984,0.12003625651765845
7,9,18,2.0625317833517216,0.4506516241081618
8,17,1,0.26972821383056483,0.15342507906715633
9,17,10,9.3789404565132e-05,0.0008702950164737801
10,17,13,0.25561863346292873,0.24471725621563611
11,17,18,0.7654972036512336,0.22776085588975384
12,26,1,0.028134264438112018,0.05262419599021361
13,26,10,0.0,0.0
14,26,13,0.34188219470723735,0.2633916856492094
15,26,18,1.5379894007761739,0.3713041623839188
16,32,1,0.6755115384402749,0.5292697158162482
17,32,10,0.19804329776443547,0.040346874031752626
18,32,13,0.8461854211509551,0.8237820918854287
19,32,18,0.5173472515718034,0.8112916562909208
20,37,1,0.0001361018309664249,0.0
21,37,10,0.09885862958525297,0.002756835165514191
22,37,13,0.08738102807701803,0.01872006084301278
23,37,18,2.1115752959919214,1.2731583458990605
