,subjectID,videoID,root_mean_squared_error
0,1,1,0.10441378924663655
1,1,10,1.258850099716824e-07
2,1,13,0.0033179392000418726
3,1,18,0.2827003011558666
4,9,1,0.12338436928655945
5,9,10,0.0020498669891767405
6,9,13,0.11736522555044601
7,9,18,0.4605047966766171
8,17,1,0.15526484703798607
9,17,10,0.0006552635189460095
10,17,13,0.24694876830721615
11,17,18,0.2215710932995096
12,26,1,0.05182545139414848
13,26,10,0.0
14,26,13,0.2626252741758882
15,26,18,0.5011443834136146
16,32,1,0.5292633519955109
17,32,10,0.041961977530502396
18,32,13,0.8238066582939259
19,32,18,0.8013923774014078
20,37,1,0.0
21,37,10,0.006478685812608418
22,37,13,0.01872006084301278
23,37,18,1.2667442292679854
