,subjectID,videoID,root_mean_squared_error
0,1,1,0.13708393460961033
1,1,10,0.0031445821566913517
2,1,13,0.14189398211459692
3,1,18,0.41489447238351723
4,9,1,0.7776547223350357
5,9,10,0.14366127903077267
6,9,13,0.13491248436879605
7,9,18,0.3888741586700516
8,17,1,0.08102541187381572
9,17,10,0.2054379948692579
10,17,13,0.41532521837132597
11,17,18,0.19832244388127368
12,26,1,0.05310581549353405
13,26,10,0.0
14,26,13,0.21738049559376033
15,26,18,0.9415684064354306
16,32,1,0.4748489243199611
17,32,10,0.2335365553489719
18,32,13,0.7364821745410827
19,32,18,0.9190222116940195
20,37,1,0.053951835372846216
21,37,10,0.012510618570989337
22,37,13,0.01872006084301278
23,37,18,0.9654805363561625
