scenario,fold,arousal,valence
across-time,0,0.2733352116634753,2.0010973972861534
across-time,0,0.41888308101457217,0.04101799989973263
across-time,0,0.8596491506744662,0.19225812662299732
across-time,0,4.405990775574587,3.059778501046635
across-time,0,0.5257333074803238,0.8325318302435339
across-time,0,2.8166054362276105,2.319326195416255
across-time,0,0.791554379291553,0.10987541253645576
across-time,0,1.0089906818292582,1.7237119181828437
across-time,0,2.898634641436106,1.5828183546890067
across-time,0,0.17763505244856903,0.5807011675435679
across-time,0,0.6206851056386018,0.26379721105776527
across-time,0,3.6838163679621894,3.1905112225362076
across-time,0,2.0892082310738282,0.7476184168908152
across-time,0,1.8224509126919324,0.30952347483139336
across-time,0,0.27305751481652696,0.09740865045340628
across-time,0,0.5569687486636151,0.5476293314234648
across-time,0,1.8152598783436193,0.6219662615619534
across-time,0,0.21298550839705005,0.6930072646156493
across-time,0,1.0592466333973105,0.14077872391680177
across-time,0,0.4191091337115659,1.3088787182699986
across-time,0,0.3328186100925266,0.5892965545748293
across-time,0,0.9761979606888805,0.6525133762106492
across-time,0,0.09843197555626068,0.4676439178792784
across-time,0,0.695015321392171,0.17857518223703436
across-time,0,2.125519557310711,3.723300919249323
across-time,0,0.21621826455686197,0.12247969949812147
across-time,0,0.05820692012539864,0.14606171513251057
across-time,0,1.765502944802658,1.520997590329634
across-time,0,1.39373946926938,0.3221237336653744
across-time,0,0.7779230366271321,2.052691945783242
across-time,0,0.8766521008988444,1.3153324930611952
across-time,0,0.5937911962785829,0.011661229386477751
across-time,0,1.1860030362410003,2.290402507011312
across-time,0,0.18068992842569045,0.4391071185521223
across-time,0,0.5367383783899539,1.0914320685719185
across-time,0,1.5260222688703136,1.9947072017485834
across-time,0,0.40038124596148267,1.6082745023165683
across-time,0,0.8512967221897579,0.8130338498872997
across-time,0,0.7949721412407442,0.07036538757624065
across-time,0,0.7329131953841018,0.04344580685014903
across-time,0,0.44750683075907904,1.1400010622133878
across-time,0,0.19454200976552677,0.13702183378225594
across-time,0,1.269190127803586,0.08432068705984039
across-time,0,2.2863937947717354,2.2845755789003737
across-time,0,1.0343280611365218,0.863499295822975
across-time,0,1.2499761119225483,0.8919815559841195
across-time,0,0.8977071110459786,0.6934652962698885
across-time,0,1.8522197053068725,0.13021850447087086
across-time,0,1.7419876168868567,1.067013751426212
across-time,0,0.7643654366822515,0.8873073214996973
across-time,0,0.9359338577206708,0.35955269672276596
across-time,0,3.4601297600103744,3.4560351728257364
across-time,0,0.8995769069773148,4.081743097582886
across-time,0,0.65446080529415,0.48701718141311157
across-time,0,0.4902608707639697,0.02850268236985422
across-time,0,1.4731462694061892,0.4283427214996132
across-time,0,0.1687867051198596,0.05600655954536413
across-time,0,0.035087144673573906,0.00044953708161864757
across-time,0,0.12942410652026706,1.2031709001409372
across-time,0,0.9771225717832945,1.6708207183625972
across-time,0,0.30807259384337354,0.22439202793789853
across-time,0,0.9382973887504606,0.2280633046887882
across-time,0,0.2670442474898671,0.6552244017215751
across-time,0,0.14024813342988782,0.15621514240863404
across-time,0,0.39867208327390935,0.962726263750756
across-time,0,0.43822571860641013,1.3136329753112792
across-time,0,0.8533752511072416,1.9930195303427354
across-time,0,1.440467676787048,0.33459074114723514
across-time,0,0.46419381913052443,1.8066448603091372
across-time,0,0.9889089786222108,0.71367448672049
across-time,0,0.19815992477978375,0.4982060187862537
across-time,0,0.25532385454767137,0.11681271009224434
across-time,0,1.0407400919387837,3.3941860831288326
across-time,0,0.056097056144650013,0.0113574960817845
across-time,0,0.14048053274742892,0.020475127152613872
across-time,0,3.873783566803837,3.133334993794734
across-time,0,0.2934765655613857,1.1764307015409046
across-time,0,0.36999471209644325,0.45406107870774776
across-time,0,0.020541559700094636,0.13739562833062294
across-time,0,0.0,0.0
across-time,0,0.030240576179507622,0.8434298859389745
across-time,0,0.0,0.0
across-time,0,0.08811442833766245,0.5183799286175368
across-time,0,3.864391677473778,4.334683962113511
across-time,0,1.3186680433331657,2.2093467177840838
across-time,0,0.3351995763051376,0.1407476587290376
across-time,0,0.14857051525564482,0.22746509121284064
across-time,0,0.05368601482906491,0.4781624509002304
across-time,0,1.734956952763188,2.233285283988648
across-time,0,0.15042117133651314,0.8425145925202174
across-time,0,1.7428159077769088,1.4620896881801526
across-time,0,2.537001333216114,3.1989607396525575
across-time,0,0.31813629542859495,0.6770069038214801
across-time,0,2.1135697271199585,0.26768743244861504
across-time,0,0.28227997142718825,1.0464872062611248
across-time,0,0.23328197876312745,0.41660993220977316
across-time,0,1.6863082835365566,2.5471292357413247
across-time,0,0.45669514444051207,0.18233302395740372
across-time,0,1.101604397883576,0.05244228357210203
across-time,0,1.9511490263636417,1.711073967090921
across-time,0,0.5800877437481986,0.8840349022412406
across-time,0,0.3617981585068789,0.6401702059412102
across-time,0,0.4822406917474185,0.15620538989268196
across-time,0,0.8097833686225316,0.16186016924555935
across-time,0,0.20150054523810854,1.4186888083140232
across-time,0,0.9500878238576635,0.8338177790867456
across-time,0,1.0905895213287977,0.06679639933487402
across-time,0,0.9509500293836382,1.7422402497698528
across-time,0,0.28123780799122144,2.2822122580529434
across-time,0,0.5164945965200332,0.5596199677446879
across-time,0,0.0901526990800289,0.33532048891003063
across-time,0,0.3220798753135637,1.2676420707565028
across-time,0,0.2506520340592635,2.779005390115269
across-time,0,0.27525577404470214,1.9172527396589267
across-time,0,1.38078662392373,1.900797609152592
across-time,0,1.884199053905182,1.4714889994931797
across-time,0,0.07246321206286487,0.8771356885304875
across-time,0,0.9098591585979717,0.05643734124876619
across-time,0,0.04681838370284719,0.0023856427339462786
across-time,0,0.526500187224637,0.8714329152471377
across-time,0,0.4218716882870898,0.8871671292811085
across-time,0,0.35358434976450853,0.5383529531053338
across-time,0,0.9006076519105031,1.3785705222208777
across-time,0,3.2661893222366323,2.4531815727483144
across-time,0,0.6536988467592576,0.9008071491556757
across-time,0,2.451212154990686,2.6339813373440273
across-time,0,0.9521947349197457,1.4092874005234632
across-time,0,1.2460757897802415,0.45430273174665525
across-time,0,0.42148304808017034,0.5429420711007122
across-time,0,0.7386034075400996,0.4934001676657103
across-time,0,1.3917930179377367,0.5864038519004435
across-time,0,2.299326007321696,4.1685367476706405
across-time,0,0.38777289201745685,0.46752735311738786
across-time,0,1.828460879927717,0.7787613718839729
across-time,0,0.1938832743457929,1.9113593905790147
across-time,0,0.23535341427260636,0.761363951894807
across-time,0,0.8845020118253816,0.06581951230028292
across-time,0,2.3321770266635746,0.10238207638850538
across-time,0,0.38927068435122697,0.6360002914716281
across-time,0,1.1696938632085592,0.1107303747788008
across-time,0,0.5794511799063091,0.228980138997494
across-time,0,0.48196323324266016,0.14457856441420514
across-time,0,0.14450191576780472,0.0
across-time,0,1.9062412988188506,0.4538764463163957
across-time,0,1.3680184498865802,1.3731610556449967
across-time,0,0.7671482918154694,0.05914934246937779
across-time,0,0.5676219001497926,1.2343199052322351
